block,session_id,user_id,Date(createdAt),date(updatedAt)
"""BLOCK_cb*d*d-ac*bd*""",747171,,2020-10-23,2020-10-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",747171,,2020-10-23,2020-10-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",747171,,2020-10-23,2020-10-23
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",747171,,2020-10-23,2020-10-23
"""BLOCK_cb*d*d-ac*bd*""",747171,,2020-10-23,2020-10-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",747171,,2020-10-23,2020-10-23
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",747171,,2020-10-23,2020-10-23
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",747171,,2020-10-23,2020-10-23
"""BLOCK_e294dcfb-da*fc-b*d1c29c""",747171,,2020-10-23,2020-10-23
"""BLOCK_cb*d*d-ac*bd*""",747171,,2020-10-23,2020-10-23
"""BLOCK_d1c6bf7e-b6d9-4c9b-*f2bda54b""",747171,,2020-10-23,2020-10-23
